date,tavg,tmin,tmax,prcp
15-11-2006,21,14.5,29.8,
16-11-2006,20.4,13.5,28.2,
17-11-2006,20.7,13.3,29,
18-11-2006,22,15,30.5,
19-11-2006,20.9,15.7,27.6,
20-11-2006,20.4,,27.5,
21-11-2006,19.4,12.8,28.5,
22-11-2006,21.2,13.6,28.8,
23-11-2006,20.1,15.1,26.6,0
24-11-2006,17,,24.2,
25-11-2006,15.4,8.5,24.1,
26-11-2006,15.3,8.3,24,
27-11-2006,15.4,7.6,24.1,
28-11-2006,15.1,8.2,25.3,
29-11-2006,15.3,7.3,25.5,
30-11-2006,16.5,8.7,26.3,
01-12-2006,17.8,10.2,26.1,
02-12-2006,17.1,10.9,25.3,
03-12-2006,17.1,10.5,25.6,
04-12-2006,17.9,14,24.2,0
05-12-2006,19.5,15,26.3,0
06-12-2006,18.8,14.6,,
07-12-2006,18.1,14.5,22.7,
08-12-2006,14.1,,20.5,
09-12-2006,13.1,6.5,21.1,
10-12-2006,15.8,8,22.4,
